unit_code,timestamp,power,emissions
ARWF1,2026-05-01 00:35:00+10:00,109.4,0.0
BARCALDN,2026-05-01 00:35:00+10:00,0.0,0.0
BDL01,2026-05-01 00:35:00+10:00,0.0,0.0
BDL02,2026-05-01 00:35:00+10:00,0.0,0.0
BW01,2026-05-01 00:35:00+10:00,482.2949,35.9237
BW02,2026-05-01 00:35:00+10:00,494.2824,36.7358
BW03,2026-05-01 00:35:00+10:00,529.6101,39.3297
BW04,2026-05-01 00:35:00+10:00,496.5041,36.8019
ADPBA1,2026-05-01 00:40:00+10:00,0.029,0.0
ADPBA1G,2026-05-01 00:40:00+10:00,0.029,0.0
ADPPV1,2026-05-01 00:40:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:40:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:40:00+10:00,110.9,0.0
BARCALDN,2026-05-01 00:40:00+10:00,0.0,0.0
BDL01,2026-05-01 00:40:00+10:00,0.0,0.0
BDL02,2026-05-01 00:40:00+10:00,0.0,0.0
BW01,2026-05-01 00:40:00+10:00,491.5969,36.1922
BW02,2026-05-01 00:40:00+10:00,505.9281,37.1703
BW03,2026-05-01 00:40:00+10:00,514.107,38.7871
BW04,2026-05-01 00:40:00+10:00,506.4164,37.2711
ADPBA1,2026-05-01 00:45:00+10:00,-0.002,0.0
ADPBA1L,2026-05-01 00:45:00+10:00,0.002,0.0
ADPPV1,2026-05-01 00:45:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:45:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:45:00+10:00,117.2,0.0
BARCALDN,2026-05-01 00:45:00+10:00,0.0,0.0
BDL01,2026-05-01 00:45:00+10:00,0.0,0.0
BDL02,2026-05-01 00:45:00+10:00,0.0,0.0
BW01,2026-05-01 00:45:00+10:00,489.7902,36.4708
BW02,2026-05-01 00:45:00+10:00,504.0238,37.5323
BW03,2026-05-01 00:45:00+10:00,495.6252,37.5242
BW04,2026-05-01 00:45:00+10:00,503.8285,37.5432
ADPBA1,2026-05-01 00:50:00+10:00,-0.001,0.0
ADPBA1L,2026-05-01 00:50:00+10:00,0.001,0.0
ADPPV1,2026-05-01 00:50:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:50:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:50:00+10:00,120.2,0.0
BARCALDN,2026-05-01 00:50:00+10:00,0.0,0.0
BDL01,2026-05-01 00:50:00+10:00,0.0,0.0
BDL02,2026-05-01 00:50:00+10:00,0.0,0.0
BW01,2026-05-01 00:50:00+10:00,494.2336,36.5688
BW02,2026-05-01 00:50:00+10:00,502.6322,37.4099
BW03,2026-05-01 00:50:00+10:00,479.4141,36.2349
BW04,2026-05-01 00:50:00+10:00,503.5355,37.4362
ADPBA1,2026-05-01 00:55:00+10:00,-0.002,0.0
ADPBA1L,2026-05-01 00:55:00+10:00,0.002,0.0
ADPPV1,2026-05-01 00:55:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:55:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:55:00+10:00,126.0,0.0
BARCALDN,2026-05-01 00:55:00+10:00,0.0,0.0
BDL01,2026-05-01 00:55:00+10:00,0.0,0.0
BDL02,2026-05-01 00:55:00+10:00,0.0,0.0
BW01,2026-05-01 00:55:00+10:00,493.8674,36.7203
BW02,2026-05-01 00:55:00+10:00,504.39,37.4235
BW03,2026-05-01 00:55:00+10:00,478.5107,35.5989
BW04,2026-05-01 00:55:00+10:00,504.5365,37.4625
ADPBA1,2026-05-01 01:00:00+10:00,0.002,0.0
ADPBA1G,2026-05-01 01:00:00+10:00,0.002,0.0
ADPPV1,2026-05-01 01:00:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:00:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:00:00+10:00,131.1,0.0
BARCALDN,2026-05-01 01:00:00+10:00,0.0,0.0
BDL01,2026-05-01 01:00:00+10:00,0.0,0.0
BDL02,2026-05-01 01:00:00+10:00,0.0,0.0
BW01,2026-05-01 01:00:00+10:00,495.7961,36.7784
BW02,2026-05-01 01:00:00+10:00,506.4164,37.5641
BW03,2026-05-01 01:00:00+10:00,480.2686,35.6306
BW04,2026-05-01 01:00:00+10:00,505.269,37.5269
ADPBA1,2026-05-01 01:05:00+10:00,-0.002,0.0
ADPBA1L,2026-05-01 01:05:00+10:00,0.002,0.0
ADPPV1,2026-05-01 01:05:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:05:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:05:00+10:00,129.3,0.0
BARCALDN,2026-05-01 01:05:00+10:00,0.0,0.0
BDL01,2026-05-01 01:05:00+10:00,0.0,0.0
BDL02,2026-05-01 01:05:00+10:00,0.0,0.0
BW01,2026-05-01 01:05:00+10:00,493.5256,36.7656
BW02,2026-05-01 01:05:00+10:00,505.5863,37.6086
BW03,2026-05-01 01:05:00+10:00,480.3906,35.7005
BW04,2026-05-01 01:05:00+10:00,505.0981,37.5477
ADPBA1,2026-05-01 01:10:00+10:00,0.002,0.0
ADPBA1G,2026-05-01 01:10:00+10:00,0.002,0.0
ADPPV1,2026-05-01 01:10:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:10:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:10:00+10:00,130.5,0.0
BARCALDN,2026-05-01 01:10:00+10:00,0.0,0.0
BDL01,2026-05-01 01:10:00+10:00,0.0,0.0
BDL02,2026-05-01 01:10:00+10:00,0.0,0.0
BW01,2026-05-01 01:10:00+10:00,494.8928,36.7321
BW02,2026-05-01 01:10:00+10:00,510.4204,37.7573
BW03,2026-05-01 01:10:00+10:00,465.742,35.1607
BW04,2026-05-01 01:10:00+10:00,510.1274,37.7284
ADPBA1,2026-05-01 01:15:00+10:00,0.0,0.0
ADPBA1G,2026-05-01 01:15:00+10:00,0.0,0.0
ADPPV1,2026-05-01 01:15:00+10:00,0.0,0.0
